WHITE,,,,,,,,,,,,,
,rnbqkb1r/pppppp1p/5np1/8/2P5/2N5/PP1PPPPP/R1BQKBNR w,g2-g3,0.3,e2-e4,0.5,d2-d4,0.2,,,,,,
,rnbqkb1r/pppp1ppp/4pn2/8/2P5/2N5/PP1PPPPP/R1BQKBNR w,g1-f3,0.3,e2-e4,0.5,d2-d4,0.2,,,,,,
e6,rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w,g1-f3,0.4,d2-d4,0.1,g2-g3,0.2,b1-c3,0.3,,,,
,rnbqkbnr/ppp2ppp/4p3/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R w,d2-d4,0.4,g2-g3,0.4,b2-b3,0.2,,,,,,
,rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w,g2-g3,0.6,b1-c3,0.4,,,,,,,,
,rnbqkbnr/ppp2ppp/4p3/3p4/2P5/6P1/PP1PPP1P/RNBQKBNR w,f1-g2,1,,,,,,,,,,
,rnbqkbnr/ppp2ppp/4p3/3p4/2P5/2N5/PP1PPPPP/R1BQKBNR w,d2-d4,1,,,,,,,,,,
symm english,rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w,g1-f3,0.5,b1-c3,0.3,g2-g3,0.2,,,,,,
,r1bqkbnr/pp1ppppp/2n5/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w,d2-d4,0.3,b1-c3,0.5,g2-g3,0.2,,,,,,
,rnbqkb1r/pp1ppppp/5n2/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R w,b1-c3,0.7,g2-g3,0.3,,,,,,,,
,r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w,g1-f3,0.7,g2-g3,0.3,,,,,,,,
,rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w,g1-f3,0.6,g2-g3,0.4,,,,,,,,
rev sic,rnbqkbnr/pppp1ppp/8/4p3/2P5/8/PP1PPPPP/RNBQKBNR w,b1-c3,0.7,g2-g3,0.3,,,,,,,,
,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w,g1-f3,0.6,g2-g3,0.4,,,,,,,,
,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N5/PP1PPPPP/R1BQKBNR w,g1-f3,0.5,g2-g3,0.5,,,,,,,,
,rnbqkb1r/pppp1ppp/5n2/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR w,f1-g2,1,,,,,,,,,,
,r1bqkbnr/pppp1ppp/2n5/4p3/2P5/6P1/PP1PPP1P/RNBQKBNR w,f1-g2,1,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nf6 vs Nf3,rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w,c2-c4,0.6,g2-g3,0.3,d2-d4,0.1,,,,,,
,,,,,,,,,,,,,
d5 vs Nf3,rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w,g2-g3,0.4,d2-d4,0.3,c2-c4,0.3,,,,,,
KIA,rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w,f1-g2,1,,,,,,,,,,
KIA,rnbqkb1r/pppppp1p/5np1/8/8/5NP1/PPPPPP1P/RNBQKB1R w,f1-g2,1,,,,,,,,,,
,,,,,,,,,,,,,
KIA,rnbqk2r/ppppppbp/5np1/8/8/5NP1/PPPPPPBP/RNBQK2R w,e1-g1,0.8,c2-c4,0.2,,,,,,,,
c5 vs Nf3,rnbqkbnr/pp1ppppp/8/2p5/8/5N2/PPPPPPPP/RNBQKB1R w,c2-c4,0.7,g2-g3,0.2,e2-e4,0.1,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
BLACK,,,,,,,,,,,,,
,,,,,,,,,,,,,
e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b,e7-e5,0.3,c7-c5,0.3,e7-e6,0.15,c7-c6,0.15,g8-f6,0.05,d7-d5,0.05
,,,,,,,,,,,,,
KG,rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b,e5-f4,0.7,d7-d5,0.3,,,,,,,,
Danish Gambit,rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b,e5-d4,1,,,,,,,,,,
Bishop,rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b,g8-f6,0.8,b8-c6,0.2,,,,,,,,
Vienna,rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b,g8-f6,0.8,b8-c6,0.2,,,,,,,,
open game,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b,b8-c6,0.8,g8-f6,0.2,,,,,,,,
Petroff,rnbqkb1r/pppp1ppp/5n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R b,d7-d6,1,,,,,,,,,,
Petroff,rnbqkb1r/ppp2ppp/3p1n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b,f6-e4,1,,,,,,,,,,
Petroff,rnbqkb1r/ppp2ppp/3p4/8/3Pn3/5N2/PPP2PPP/RNBQKB1R b,d6-d5,1,,,,,,,,,,
Petroff,rnbqkb1r/ppp2ppp/3p4/8/4n3/2N2N2/PPPP1PPP/R1BQKB1R b,e4-c3,1,,,,,,,,,,
4K (Petroff),rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b,b8-c6,0.7,f8-b4,0.3,,,,,,,,
4K,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b,g8-f6,1,,,,,,,,,,
Scotch,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b,e5-d4,1,,,,,,,,,,
Scotch,r1bqkbnr/pppp1ppp/2n5/8/3NP3/8/PPP2PPP/RNBQKB1R b,f8-c5,0.5,g8-f6,0.5,,,,,,,,
Italian,r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b,f8-c5,0.5,g8-f6,0.5,,,,,,,,
Italian 2K,r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b,d7-d5,0.9,f8-c5,0.1,,,,,,,,
Italian 2K,r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b,c6-a5,0.4,b7-b5,0.2,c6-d4,0.2,f6-d5,0.2,,,,
Giuocco piano,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b,g8-f6,1,,,,,,,,,,
Giuocco piano,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQ1RK1 b,g8-f6,1,,,,,,,,,,
Ruy,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b,a7-a6,0.4,g8-f6,0.4,f8-c5,0.1,f7-f5,0.05,d7-d6,0.05,,
